1	7		 7	  6			Caucasian	     York	    Maple
2	10		 8	  5			Caucasian	   Durham	   Oshawa
3	10		 9	  1			    Asian	     Peel	 Brampton
4	10		 9	  7			African-A	   Durham	   Oshawa
5	9		 4	  2			    Asian	   Durham	   Whitby
6	4		 2	  0			   Others	     Peel	Mississau
7	12		 6	  5			Caucasian	     Peel	 Brampton
8	8		 4	  2			   Others	     Peel	 Brampton
9	12		 12	  0			Caucasian	   Durham	   Oshawa
10	10		 5	  0			   Others	     Peel	 Brampton
11	4		 4	  0			Caucasian	     Peel	 Brampton
12	10		 5	  2			African-A	     Peel	 Brampton
13	11		 5	  2			   Others	   Durham	   Whitby
14	5		 4	  1			Caucasian	     York	    Maple
15	9		 4	  1			    Asian	   Durham	   Whitby
16	1		 1	  0			Indigenou	     York	  Vaughan
17	11		 4	  1			Indigenou	     Peel	Mississau
18	11		 2	  0			Caucasian	     Peel	Mississau
19	8		 8	  2			    Asian	     York	  Vaughan
20	9		 7	  3			Caucasian	     York	    Maple
21	10		 9	  7			Indigenou	     York	    Maple
22	12		 9	  7			Indigenou	   Durham	   Oshawa
23	12		 10	  8			Indigenou	     York	  Vaughan
24	10		 8	  5			   Others	     York	  Vaughan
25	10		 7	  0			    Asian	   Durham	   Oshawa
26	12		 12	  1			Indigenou	   Durham	   Oshawa
27	10		 1	  1			    Asian	   Durham	   Whitby
28	10		 7	  0			Caucasian	     York	    Maple
29	12		 6	  3			African-A	     Peel	 Brampton
30	8		 6	  4			Indigenou	     Peel	 Brampton
31	8		 5	  2			African-A	     York	  Vaughan
32	11		 9	  5			Caucasian	   Durham	   Whitby
33	12		 11	  8			African-A	     York	    Maple
34	6		 4	  4			Indigenou	     Peel	 Brampton
35	2		 1	  1			   Others	     York	  Vaughan
36	11		 9	  3			   Others	     Peel	Mississau
37	10		 8	  7			    Asian	     Peel	 Brampton
38	7		 6	  1			Caucasian	     Peel	 Brampton
39	10		 4	  1			Caucasian	     York	  Vaughan
40	12		 5	  2			Indigenou	     Peel	 Brampton
41	10		 6	  0			Caucasian	     Peel	 Brampton
42	10		 3	  1			Caucasian	     York	  Vaughan
43	10		 6	  2			Caucasian	     York	  Vaughan
44	6		 4	  2			Indigenou	     York	  Vaughan
45	10		 7	  5			    Asian	     Peel	Mississau
46	9		 3	  3			   Others	     York	    Maple
47	8		 6	  3			African-A	     Peel	 Brampton
48	12		 4	  3			    Asian	     Peel	 Brampton
49	11		 7	  2			African-A	     York	  Vaughan
50	12		 10	  8			Caucasian	     York	    Maple
51	7		 5	  0			    Asian	     Peel	 Brampton
52	5		 4	  4			Indigenou	     York	    Maple
53	12		 11	  9			African-A	     Peel	 Brampton
54	9		 8	  2			Indigenou	     York	    Maple
55	4		 3	  3			   Others	   Durham	   Whitby
56	12		 11	  8			African-A	     Peel	 Brampton
57	12		 8	  7			Indigenou	     Peel	 Brampton
58	12		 10	  7			    Asian	     Peel	 Brampton
59	7		 2	  0			Indigenou	   Durham	   Oshawa
60	2		 2	  1			   Others	   Durham	   Whitby
61	9		 6	  1			Indigenou	   Durham	   Oshawa
62	12		 9	  1			   Others	     Peel	 Brampton
63	11		 10	  6			Caucasian	     York	    Maple
64	4		 2	  2			African-A	     York	  Vaughan
65	7		 1	  1			   Others	     York	  Vaughan
66	11		 7	  7			African-A	     York	    Maple
67	3		 3	  0			African-A	   Durham	   Oshawa
68	12		 9	  2			   Others	     Peel	Mississau
69	11		 8	  4			Caucasian	     York	  Vaughan
70	10		 4	  4			African-A	     York	    Maple
71	12		 12	  9			    Asian	   Durham	   Oshawa
72	12		 3	  0			    Asian	     York	    Maple
73	7		 2	  0			African-A	     York	  Vaughan
74	10		 3	  2			    Asian	     York	    Maple
75	10		 9	  0			   Others	   Durham	   Whitby
76	7		 5	  0			   Others	     York	  Vaughan
77	12		 4	  3			   Others	   Durham	   Whitby
78	6		 2	  1			African-A	   Durham	   Oshawa
79	10		 7	  6			African-A	     Peel	Mississau
80	10		 8	  2			   Others	     Peel	 Brampton
81	12		 10	  1			    Asian	     York	  Vaughan
82	10		 9	  1			   Others	   Durham	   Whitby
83	11		 9	  9			   Others	   Durham	   Whitby
84	10		 9	  8			    Asian	     York	  Vaughan
85	11		 9	  7			Indigenou	     York	    Maple
86	7		 4	  1			    Asian	     York	  Vaughan
87	8		 5	  1			    Asian	   Durham	   Oshawa
88	10		 6	  2			    Asian	   Durham	   Oshawa
89	6		 2	  1			    Asian	     York	    Maple
90	12		 9	  1			Indigenou	   Durham	   Whitby
91	12		 6	  5			Caucasian	     York	    Maple
92	9		 5	  4			   Others	   Durham	   Whitby
93	12		 7	  2			   Others	     York	    Maple
94	7		 4	  2			    Asian	     Peel	 Brampton
95	11		 7	  3			Caucasian	     Peel	Mississau
96	7		 3	  2			   Others	   Durham	   Whitby
97	9		 7	  0			Caucasian	     York	  Vaughan
98	12		 7	  2			Caucasian	     Peel	 Brampton
99	7		 3	  1			African-A	     Peel	 Brampton
100	9		 6	  1			    Asian	   Durham	   Whitby
